STRING_gene,CTL1,CTL2,CTL3,CTL4,RX1,RX2,RX3,RX4,RX5,RX6,RX7,RX8,RX9
Abcb10,1.26,1.32,1.36,1.23,1.24,1.17,1.18,0.59,0.82,0.99,1.14,1.02,1.16
Abcb1a,1.07,1.2,1.26,1.03,1,0.88,1,1.2,0.91,1.1,1.02,1.06,1.02
Abcf1,1.35,1.31,1.28,1.18,1.06,1.07,1.09,0.83,0.75,0.97,1.14,0.95,1.22
Abl1,1.02,0.89,0.98,0.98,1.07,0.85,0.92,1.22,0.94,0.95,1.11,0.96,0.92
Ackr2,0.52,1.1,1.27,0.64,0.78,0.75,0.71,0.72,2.04,1.15,1.02,1.59,0.72
Ackr4,0.1,0.08,0.32,0.25,0.7,0.39,0.08,0.95,2.89,0.71,0.86,0.51,0.08
Adal,1.3,1.07,1.12,1.17,1.3,1.11,1.03,0.88,0.69,0.99,1.03,0.86,1.22
Adgre1,0.19,0.18,0.18,0.15,0.33,0.62,0.49,1.08,2.49,0.37,0.81,0.75,0.32
Adgre5,0.66,0.81,0.89,0.81,0.65,0.91,0.88,0.97,1.6,0.52,0.7,0.69,0.75
Ahr,1.15,1.23,1.04,1.03,1.15,1.01,1.2,0.8,0.84,0.85,1.18,0.82,1.2
Aicda,1,0.76,0.74,1.08,1.78,0.98,0.74,0.76,0.74,1.81,0.93,0.74,0.74
Aire,0.61,0.45,0.74,0.45,0.62,0.6,0.45,1.95,1.38,1.39,0.57,4.65,0.45
Alas1,0.95,1.1,1.1,1.12,1,0.92,1.04,0.99,1.04,1.07,0.9,1.05,1.05
App,1.27,1.21,1.22,1.19,1.17,1.01,1.07,0.93,0.82,1.04,1.1,0.96,1.12
Arhgdib,0.42,0.39,0.38,0.35,0.49,0.73,0.59,1.3,1.88,0.52,0.8,0.78,0.44
Atg16l1,1.22,1.05,1.21,1.01,1.11,0.99,1.04,1.17,0.7,1.21,0.94,0.97,1.05
Atm,1.25,1.09,1.26,0.92,1.26,0.86,0.99,1,0.88,1.02,1.01,1.3,1
B2m,0.44,0.42,0.4,0.44,1.11,0.85,0.63,1.24,1.76,0.82,0.87,0.85,0.78
Batf,0.14,0.04,0.04,0.04,0.48,0.69,0.83,1.39,1.85,0.65,0.61,0.59,0.22
Batf3,0.43,0.62,0.82,0.87,0.57,0.47,0.79,1.53,1.64,0.9,1.06,1,0.72
Bax,1.09,1.01,0.99,0.89,1.08,0.9,0.95,1.13,0.95,1.01,0.94,0.92,0.89
Bcap31,1.14,1.17,1.12,1.15,1.19,1.06,1.06,0.77,0.92,0.89,1.04,0.91,1.09
Bcl2,1.12,0.88,1.09,1.12,0.98,1.09,1.2,0.66,0.82,0.65,1.08,0.77,1.26
Bcl3,0.14,0.1,0.1,0.24,1.14,0.78,0.28,1.56,1.25,1.28,0.63,0.77,0.51
Bcl6,1.16,1.18,1.18,0.99,1.17,0.97,1.12,0.69,1.04,1.36,1,1.21,1.23
Bid,0.88,1.12,0.92,0.87,0.99,0.86,0.92,1.18,1.05,1.1,0.86,1,0.82
Blnk,0.42,0.42,0.36,0.39,0.42,0.64,0.56,1.59,1.79,0.49,0.79,0.68,0.56
Bst1,0.07,0.01,0.01,0.01,0.13,0.39,0.3,2.15,2.04,0.51,0.24,0.75,0.06
Bst2,0.19,0.2,0.25,0.21,0.28,0.78,0.44,0.92,2.58,0.58,0.66,1.02,0.43
Btk,0.28,0.14,0.24,0.24,1.37,0.85,0.55,0.8,2.43,0.47,0.88,0.71,0.48
Btla,0.76,1.51,1.05,0.86,0.45,0.97,1.62,1.13,0.82,1.26,0.65,1.25,0.96
Btnl1,0.55,0.56,0.55,4.26,2.06,0.72,1.11,0.56,0.55,0.71,3.43,1.27,0.55
Btnl2,2.23,1.69,0.44,0.64,1.06,2.25,0.44,0.45,0.8,0.51,1.11,0.44,0.44
C1qa,0.2,0.22,0.22,0.22,2.29,1.8,0.65,1.26,1.2,1.64,0.99,0.82,1.35
C1qb,0.22,0.23,0.22,0.23,1.31,0.75,0.42,1.37,2.15,0.65,0.97,0.74,0.34
C1qbp,1.11,1.04,1.1,1.07,1.11,0.95,0.96,1.17,0.81,1.27,0.94,1.09,0.97
C1ra,0.43,0.42,0.54,0.54,0.47,0.63,0.72,1.47,1.71,0.66,0.74,1.13,0.66
C1s1,0.41,0.52,0.49,0.47,0.61,0.66,0.9,1.3,1.53,0.43,0.71,0.71,0.68
C2,0.53,0.77,0.71,0.71,0.8,0.97,0.93,1.2,1.1,0.86,1.21,1.06,0.84
C3,0.01,0.01,0.08,0.04,0.84,1.48,1.18,1.2,0.8,0.41,0.99,0.69,0.66
C4a,0.16,0.21,0.21,0.25,0.44,0.91,0.68,1.52,1.46,0.72,0.82,1.28,0.51
C4bp,1.26,0.95,0.93,0.93,0.96,1.23,0.93,0.95,0.93,1.07,1.16,0.93,0.93
C6,0.11,0.58,0.36,0.08,0.55,0.21,0.69,0.97,2.58,0.1,1.17,0.27,0.58
C7,0.67,1.7,1.28,0.83,1.28,0.76,1,0.32,1.65,1.52,1.56,0.95,1.09
C8a,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
C8b,0.11,0.11,0.18,0.11,0.42,0.15,0.23,3.66,0.55,2.06,0.42,1.44,0.11
C8g,0.84,0.74,1.02,1.23,1.44,0.83,1.13,0.34,1.26,1.1,1,1.53,0.51
C9,0.56,0.74,0.68,0.41,0.99,0.55,0.41,2.63,0.41,1.01,2.07,1.33,0.41
Camp,1.33,0.92,0.08,0.35,0.89,1.43,1.66,0.71,0.31,0.98,0.63,1.24,0.65
Card9,0.46,0.54,0.49,0.59,0.42,0.94,0.56,1.22,1.86,0.78,0.99,1.06,0.61
Casp1,0.53,0.45,0.39,0.5,0.81,1.54,0.76,1.09,1.72,0.68,0.7,0.68,0.69
Casp2,0.87,0.91,1.05,0.82,0.83,0.92,1.01,1.37,0.87,0.95,0.71,0.98,0.86
Casp3,0.88,0.83,0.8,0.81,1.35,1.77,0.98,2.3,1.15,0.91,0.82,0.74,0.8
Casp8,0.51,0.36,0.31,0.38,0.52,1.75,0.64,1.03,2.06,0.51,1.03,0.77,0.5
Ccl11,0.2,0.06,0.05,0.28,1.51,0.78,2.53,1.85,1.33,0.38,1.3,0.95,0.82
Ccl12,0.22,0.16,0.06,0.16,0.81,1.94,0.95,1.64,2.45,0.65,0.96,1.94,0.87
Ccl19,0.52,0.63,0.81,0.57,0.52,0.73,0.72,1.9,1.13,1.47,0.59,0.9,0.52
Ccl2,0,0.02,0.02,0.02,1.19,0.75,0.56,1.69,1.81,0.51,0.43,0.83,0.36
Ccl20,0.35,2.03,0.65,1.08,0.35,3.01,0.52,0.85,0.26,0.26,3.88,0.6,0.26
Ccl22,0.94,1.34,0.89,0.8,0.81,0.93,1.72,0.45,1.09,1.08,1.81,0.88,1.72
Ccl24,0.13,0.35,0.21,0.41,0.13,0.31,1.72,1.58,1.26,0.45,1.27,1.75,0.53
Ccl25,0.89,0.98,0.9,1.01,0.94,0.83,0.95,1.53,0.74,1.25,0.66,1.39,0.9
Ccl26,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,0.88,1.09,0.88,0.88
Ccl3,0.07,0.11,0.1,0.1,0.16,0.74,0.3,1.13,2.67,0.73,0.76,0.83,0.26
Ccl4,0.07,0.02,0.02,0.04,1.41,0.54,0.42,0.52,2.56,0.33,0.59,0.78,0.32
Ccl5,0.04,0.03,0.03,0.04,1.58,0.7,0.98,1.18,1.56,0.5,1.11,0.65,0.93
Ccl6,0.19,0.14,0.34,0.27,0.24,1.05,0.66,1.59,1.46,0.88,0.98,1.2,0.33
Ccl7,1.03,0.62,1.05,1.07,0.84,0.78,1.16,0.91,1.31,0.71,1.05,1.04,0.9
Ccl8,0.02,0.05,0.02,0.09,0.2,0.76,1.26,0.95,1.82,0.08,1,0.28,0.47
Ccl9,0.47,0.4,0.59,0.42,0.57,1.37,1.66,0.9,1.51,0.69,1.18,1.01,0.73
Ccr10,0.72,2.57,0.87,2.69,1.27,0.7,1.07,0.67,1.28,4.33,1.99,1.7,0.77
Ccr2,0.04,0.23,0.17,0.12,0.62,1.36,1.08,2.21,1.73,1,0.61,0.9,0.71
Ccr3,1,1.32,0.74,1.75,1.02,0.98,1.5,0.76,0.74,1.81,4.66,0.74,0.74
Ccr4,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
Ccr5,0.69,0.67,0.55,0.63,0.74,1.13,0.67,0.2,2.26,0.23,1.78,1.1,1.12
Ccr6,0.24,0.18,0.18,0.18,1.9,0.68,1.47,0.77,0.18,0.21,1.8,0.26,0.18
Ccr7,0.47,0.35,1.18,0.35,0.48,0.46,1.24,2.21,0.62,3.23,3.91,0.5,0.82
Ccr8,1.57,0.67,0.67,0.67,0.91,0.88,1.86,0.68,0.67,0.86,0.83,0.67,0.67
Ccr9,1.02,0.71,0.33,0.62,0.99,1.72,1.72,2.24,1.46,1.12,1.46,0.95,0.82
Ccrl2,0.58,0.39,0.54,0.61,0.64,0.89,0.57,1.49,1.4,0.76,0.9,0.7,0.94
Cd109,0.24,0.23,0.26,0.26,0.4,0.76,0.41,2.33,1.1,0.98,0.54,0.93,0.37
Cd14,0.42,0.46,0.44,0.3,0.35,0.84,0.65,1.17,1.99,1.12,0.89,1,0.58
Cd160,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
Cd163,0.48,0.71,0.89,0.51,0.54,0.62,0.83,1.75,1.26,1,0.43,0.95,0.59
Cd164,0.97,0.91,0.94,0.93,1.04,0.97,0.92,1.09,0.97,1.02,0.9,0.92,0.89
Cd19,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,0.88,1.09,1.26,0.88
Cd1d1,0.82,0.67,0.73,0.65,0.78,0.73,0.98,1.49,1.02,0.67,0.73,1.09,0.7
Cd2,1.22,0.92,1.48,0.9,0.93,1.19,0.9,0.92,1.06,3.23,2.27,1.3,0.9
Cd209g,1.52,1.15,0.41,1.34,0.98,0.47,2.72,0.42,0.41,1.94,0.51,0.95,0.6
Cd22,0.06,0.07,0.01,0.08,1.13,0.64,1.34,0.55,3.31,0.53,0.75,0.52,0.16
Cd226,0.25,0.73,0.36,1.11,1.85,1.93,0.86,0.11,0.26,0.5,0.79,0.11,0.25
Cd244a,0.09,0.07,0.07,0.07,0.09,1.19,0.33,1.28,2.11,1.5,1.39,1.36,0.56
Cd247,0.28,0.6,0.8,1.01,1.55,1.6,0.27,1.11,0.47,0.54,1.44,1.6,1
Cd24a,0.87,0.95,0.94,0.89,1,0.94,1.05,1.06,0.95,0.92,0.67,0.86,0.84
Cd27,0.98,0.74,0.73,4.35,1,1.8,0.73,0.74,0.73,1.78,0.91,1.05,1.06
Cd274,0.82,0.49,0.42,0.52,0.83,0.95,0.62,1.17,1.42,0.9,1.03,0.94,0.58
Cd28,2.33,1.11,0.16,1.25,1.05,1.25,0.57,0.53,1.6,0.21,0.61,0.66,0.16
Cd34,1.19,1.14,1.3,1.09,1.08,1.11,1.01,0.78,1.01,1.03,1.28,0.98,0.96
Cd36,0.06,0.06,0.05,0.07,1.11,0.73,0.85,1.05,3.23,0.44,0.19,0.43,0.15
Cd3d,0.42,0.59,0.46,0.81,0.79,1.29,0.74,1.02,1.15,0.92,1.57,1.09,0.69
Cd3e,0.76,0.57,0.56,0.56,0.77,0.74,1.57,0.57,1.35,0.64,0.7,0.56,0.56
Cd3eap,1.06,1.03,1.16,1.15,1.22,1.08,0.96,0.88,0.86,0.89,0.98,0.93,0.93
Cd4,1.15,1.16,1.04,0.98,0.91,1.01,1.17,0.99,0.92,0.37,1.19,0.8,0.97
Cd40,0.89,1.06,0.63,1.15,1.1,0.75,0.91,0.5,1.74,0.28,0.96,0.71,0.89
Cd40lg,0.72,0.54,1.34,0.53,0.73,0.7,0.53,1.76,1.28,2.51,0.66,1.23,0.53
Cd44,0.23,0.2,0.19,0.25,0.51,0.8,0.53,1.5,1.83,0.5,0.8,0.78,0.45
Cd46,3.56,0.72,0.7,0.7,0.96,1.74,0.7,0.89,0.7,0.81,0.88,0.7,1.66
Cd48,0.15,0.13,0.15,0.12,0.19,0.67,0.52,0.73,2.89,0.52,0.76,0.58,0.23
Cd5,0.24,0.69,0.16,0.15,1.2,0.91,0.44,0.64,1.81,0.93,1.51,0.5,0.42
Cd53,0.35,0.08,0.33,0.28,0.35,0.5,0.81,1.05,2.29,0.81,1.43,0.69,0.49
Cd55,1.55,1.54,1.22,1.17,1.17,1.07,1.05,0.67,0.84,1.11,1.36,0.88,1.25
Cd59b,0.97,1.43,1.19,1.21,1.35,1.3,1.24,0.23,0.88,0.73,1.25,0.49,1.02
Cd6,1.39,1.01,1.43,1.09,1.16,1.61,1.17,0.2,0.86,0.35,1.82,0.71,1.02
Cd69,0.6,0.46,0.45,0.45,1.69,0.59,0.9,0.46,1.36,0.51,0.56,0.64,0.45
Cd7,1.01,0.86,1.1,1.18,0.76,0.52,0.91,2.02,0.8,1.1,1.24,1.01,0.94
Cd74,0.45,0.47,0.5,0.51,0.81,1.02,1.23,0.39,1.56,0.25,1.2,0.37,1.1
Cd79a,0.94,0.71,0.7,0.7,0.96,0.92,0.7,1.6,0.82,0.8,0.87,0.7,0.7
Cd79b,0.67,0.13,0.13,0.67,0.68,0.33,0.98,0.13,2.88,0.15,1.99,1.01,0.31
Cd80,0.58,0.78,0.56,0.55,0.52,0.95,1.17,1.11,1.26,0.83,1.13,0.52,0.92
Cd81,0.93,0.99,0.95,0.92,1,1.04,0.96,1.09,0.92,1.03,0.99,1.07,0.92
Cd82,1.02,1,0.98,1.11,1.13,1.05,1,0.72,1.1,0.75,1.14,0.97,0.92
Cd83,1.15,1.18,1.05,1.21,1.2,1.26,1.09,0.68,0.78,1.23,1.04,0.97,1.05
Cd86,0.42,0.52,0.42,0.56,0.4,0.79,0.52,1.56,1.73,0.84,1.27,1.06,0.47
Cd8a,1.18,0.89,1.44,1.28,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
Cd8b1,0.42,0.42,0.41,0.41,0.57,0.55,1.16,0.42,2.3,1.96,4.16,0.41,0.41
Cd9,0.54,0.48,0.45,0.45,0.64,1,0.68,1.07,1.6,0.73,1.12,0.94,0.58
Cd96,0.69,0.52,0.51,0.51,0.7,0.67,2.21,0.51,0.92,0.58,0.64,0.51,1.65
Cd99,0.82,0.96,0.98,0.92,0.76,0.83,1.02,1.01,1.37,0.56,0.77,1.14,0.89
Cdh5,0.67,0.66,0.63,0.71,0.72,0.56,0.83,1.53,1.36,0.51,0.68,0.7,0.72
Cdkn1a,0.34,0.34,0.35,0.35,0.45,0.35,0.41,3.07,0.71,2.53,0.34,0.65,0.44
Ceacam1,0.91,1,1.05,0.96,0.92,0.73,0.78,1.05,1.53,0.68,1.74,0.7,0.99
Cebpb,0.55,0.65,0.71,0.68,0.67,0.69,0.74,1.66,1.24,1.17,0.59,0.89,0.74
Cfb,0.21,0.43,0.15,0.15,1.37,1.2,0.86,0.82,2.95,0.55,2.11,1.17,0.15
Cfd,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
Cfh,0.44,0.54,0.56,0.44,0.44,0.72,0.62,1.5,1.72,0.63,0.82,0.72,0.51
Cfi,0.36,0.27,0.27,0.27,0.36,0.35,0.54,0.27,3.48,0.31,0.33,0.38,0.27
Cfp,0.41,0.57,0.68,0.44,1,0.68,0.79,0.96,1.96,0.39,0.57,0.5,0.71
Chuk,1.19,1.1,1.2,1.01,1,1.1,1.15,0.87,0.87,0.83,0.9,0.88,1.1
Ciita,1,0.13,0.13,0.13,0.18,1,1.36,0.69,1.77,0.15,1.78,0.42,1.12
Cish,0.71,0.56,1.13,1.1,1.18,0.55,0.94,1.69,0.63,1.03,0.63,0.66,0.9
Clec4a4,0.75,0.57,0.55,0.55,0.76,0.73,0.55,0.57,2.39,0.64,1.39,0.55,0.55
Clec4e,0.25,0.19,0.18,0.18,0.25,0.45,0.18,1.36,2.75,0.18,1.15,0.75,0.76
Clec5a,0.47,0.28,0.28,0.4,0.29,0.94,0.55,0.51,2.71,0.56,1.19,0.86,0.51
Clu,0.94,0.86,0.87,0.85,1,1.05,0.94,1.1,0.9,1.09,1.12,1.21,0.88
Cmklr1,0.32,0.27,0.2,0.28,0.45,0.64,0.6,1.42,1.88,0.7,0.64,0.77,0.37
Cr2,0.68,0.5,0.5,1.64,0.69,1.66,1.79,0.64,1.22,0.58,3.15,0.5,0.5
Cradd,1.28,1.08,1.04,1.16,1.17,0.99,1.06,0.86,0.92,1.57,1.17,1.29,0.99
Crlf2,1.12,1.01,1.09,0.98,1.05,1.06,0.98,0.81,1.1,0.75,0.93,0.89,1.03
Csf1,0.66,0.61,0.66,0.75,1.74,1.06,0.77,0.96,1.47,0.91,0.97,1.05,0.9
Csf1r,0.55,0.55,0.6,0.56,0.63,0.88,0.69,1.15,1.65,0.6,1.16,1,0.66
Csf2,0.66,0.5,0.49,0.49,0.7,1.41,1.19,0.7,2,2.31,3.68,1.57,0.71
Csf2rb,0.12,0.07,0.07,0.1,0.2,0.67,0.43,1.59,2.11,0.54,0.62,0.7,0.32
Csf3r,0.41,0.56,0.43,0.33,0.66,1.14,0.72,0.67,1.82,0.45,1.17,0.94,0.64
Ctla4,0.44,0.32,0.32,0.32,0.33,0.43,2.39,1.07,0.78,3.37,2.02,1.89,1.63
Ctnnb1,1.24,1.05,1.11,1.04,1.15,1.07,0.99,0.98,0.81,0.97,1.14,0.89,1.05
Ctsc,0.46,0.37,0.38,0.36,0.49,0.94,0.68,0.96,1.93,0.55,1.07,0.69,0.59
Ctsg,0.67,0.51,0.5,0.5,0.68,0.66,0.5,2.66,0.5,0.57,1.87,0.5,0.5
Ctss,0.22,0.23,0.21,0.24,0.33,0.65,0.44,1.36,2.22,0.63,0.81,0.76,0.36
Cul9,1.22,1.13,1.15,1.01,1.09,1.06,1.12,0.88,0.85,1.08,1.16,1.14,1.11
Cx3cl1,1.5,1.37,1.39,1.39,1.38,1.06,1.28,0.64,0.64,0.62,1.31,0.84,1.43
Cx3cr1,0.63,0.56,0.53,0.6,0.66,1.17,0.74,0.29,2.13,0.5,1.46,1.12,0.71
Cxcl1,0.05,0.04,0.04,0.04,1.18,1.27,0.48,2.54,1.53,1.21,0.09,0.73,0.21
Cxcl10,0.06,0.01,0.01,0.09,0.12,1.07,0.46,2.39,0.96,0.99,0.55,1.04,0.46
Cxcl11,0.55,0.56,0.55,0.55,0.75,1.35,1.55,1.81,0.85,0.63,1.05,0.55,0.55
Cxcl12,1,0.95,0.89,0.88,1,0.91,0.87,0.94,1.27,0.55,0.95,0.68,0.91
Cxcl13,0.56,0.42,0.42,0.42,0.57,0.55,0.52,0.53,2.83,0.48,4.18,0.42,0.42
Cxcl15,1.45,0.4,2.36,1.28,0.54,0.52,1.4,2.09,0.46,1.4,0.49,0.39,0.92
Cxcl3,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,4.14,1.09,0.88,0.88
Cxcl9,1.71,1.49,1.03,0.68,1.05,1.16,0.58,0.53,1.67,0.58,2.49,1.2,0.95
Cxcr1,0.56,0.24,0.24,0.24,0.32,1.21,1.76,0.24,1.47,1.12,1.49,0.76,0.24
Cxcr2,0.39,0.29,0.29,0.29,0.39,0.38,0.8,1.83,1.59,1.03,0.36,1.43,0.42
Cxcr3,0.19,0.22,0.54,0.61,1.16,1.23,0.8,0.98,1.23,0.46,0.89,0.32,0.4
Cxcr4,0.31,0.26,0.26,0.32,0.44,0.66,0.48,1.47,1.95,0.55,0.61,0.57,0.48
Cxcr5,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
Cxcr6,0.97,0.73,0.72,1.69,0.98,0.95,1.45,0.91,0.72,0.82,0.9,0.72,0.72
Cybb,0.04,0.05,0.08,0.08,1.13,0.84,0.51,1.07,3.05,0.41,0.37,0.38,0.2
Ddx58,0.46,0.57,0.49,0.49,0.62,0.89,0.69,1,1.8,0.81,0.68,1.01,0.55
Defb1,1.45,1.55,1.65,1.62,1.42,1.37,1.39,0.3,0.53,0.88,1.46,1.02,1.61
Defb14,0.25,0.19,0.3,1.25,2.18,0.24,0.65,1.15,0.78,0.18,1.82,1.38,0.59
Dpp4,0.8,0.5,0.83,0.78,1.16,1.02,0.77,1,1.05,0.61,1.07,0.88,0.82
Ebi3,0.8,0.88,0.73,0.7,0.86,1.07,0.85,0.67,1.55,0.82,0.88,1.15,0.85
Eef1g,1.3,1.13,1.15,1.16,1.27,1.16,1.09,0.66,0.83,0.94,1.13,0.93,1.11
Elp1,1.22,1.29,1.26,1.19,1.12,0.97,1.16,0.91,0.84,0.97,1.08,1.07,1.13
Entpd1,0.91,0.87,0.84,0.86,0.92,0.89,0.93,0.72,1.54,0.74,1.26,0.99,0.82
Eomes,0.12,0.3,0.27,0.33,1.41,0.18,0.95,2.38,0.08,0.58,0.08,0.08,0.87
Ets1,1,0.96,0.99,1.14,1,1.06,0.99,0.62,1.33,0.53,1.02,0.71,0.92
Fadd,1.03,1.23,1.03,0.51,0.72,1.37,1.15,0.56,1.2,0.72,1.21,0.95,0.84
Fas,0.57,0.39,1,0.56,0.53,0.36,0.54,2.19,1.39,1.46,1.29,1.53,0.52
Fasl,0.88,1.16,0.65,0.95,0.89,0.86,1.82,0.66,0.76,0.65,2.45,0.65,0.65
Fcamr,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,1.01,1.09,0.88,0.88
Fcer1a,1.26,0.95,0.93,0.93,0.96,1.23,0.93,0.95,0.93,0.93,2.34,0.93,0.93
Fcer1g,0.13,0.15,0.17,0.17,0.19,0.67,0.36,1.34,2.44,0.47,0.71,0.69,0.27
Fcgr1,0.2,0.19,0.21,0.19,1.32,0.76,0.85,1.79,2.68,0.62,0.94,1.11,0.46
Fcgr2b,0.19,0.2,0.18,0.18,0.45,0.96,0.65,1.3,1.64,0.7,1.07,0.91,0.49
Fcgr3,0.35,0.3,0.3,0.26,0.36,0.78,0.58,1.56,1.72,0.86,0.98,0.81,0.44
Fcgr4,0.02,0.01,0.01,0.04,0.13,0.87,0.5,0.94,2.56,0.69,0.75,0.83,0.28
Fcgrt,0.89,0.87,0.86,0.81,0.97,0.84,0.92,1.01,1.25,0.64,1.02,0.77,0.82
Fkbp5,0.45,0.64,0.8,0.55,0.53,0.42,0.52,2.57,0.96,2.2,0.48,1.18,0.62
Fn1,0.33,0.43,0.49,0.35,0.35,0.66,0.62,1.58,1.78,0.46,0.56,0.63,0.56
Foxp3,0.39,1.69,0.29,0.29,1.88,0.38,1.92,0.29,0.52,0.37,1.45,0.93,0.29
Frmpd4,1.46,1.23,1.21,1.15,1.26,1.11,1.05,0.84,0.74,1.1,1.17,0.97,1.24
Fyn,1.12,0.97,0.98,0.94,1.12,1.01,1,1.1,0.76,0.99,1.03,0.92,0.96
G6pdx,0.87,1.09,0.93,1.07,0.96,0.92,1.03,0.99,1.11,0.98,0.9,1.1,0.98
Gata3,1.59,1.79,1.45,1.83,1.52,1.69,1.33,0.09,0.37,1.12,1.15,1.29,1.72
Gfi1,1,0.75,0.74,0.74,1.01,0.98,0.92,0.75,1.33,0.74,0.92,0.74,0.74
Gm10499,0.68,0.86,0.58,0.88,0.96,1.18,0.87,0.89,1.11,0.98,2.03,0.77,1.14
Gp1bb,0.93,0.95,1.09,0.88,0.86,0.89,1.02,1.46,0.77,0.7,1,1.17,0.95
Gpi1,1.38,1.39,1.34,1.34,1.12,1.13,1.01,1.01,0.74,1.32,1.02,1.14,1.11
Gpr183,0.27,0.27,0.36,0.54,0.51,0.65,0.6,0.53,2.7,0.96,1.02,1.08,0.52
Gusb,0.2,0.2,0.2,0.19,0.27,0.74,0.38,1.21,2.41,0.58,0.86,0.74,0.32
Gzma,0.26,0.26,0.26,0.61,0.27,0.98,2.53,0.26,0.96,0.3,2.28,0.37,0.38
Gzmb,2.51,0.69,0.68,1.6,0.93,0.89,0.68,0.86,1.64,0.78,4.25,1.57,0.68
H2-Aa,0.44,0.46,0.33,0.41,0.79,1.08,1.2,0.28,1.66,0.2,1.26,0.31,0.94
H2-Ab1,0.39,0.41,0.29,0.45,0.73,1.05,1.14,0.33,1.75,0.23,1.25,0.38,0.98
H2-DMa,1.06,1.02,1.04,1.09,1.08,0.97,1.11,0.71,1.13,0.8,1.23,1.06,1
H2-DMb2,0.47,1.08,0.71,0.51,0.88,0.55,0.81,1.16,1.6,0.86,1.1,1.08,0.6
H2-Ea-ps,0.71,0.54,0.53,0.53,2.71,0.7,0.53,0.54,0.53,0.61,0.66,0.53,0.53
H2-Eb1,0.46,0.61,0.45,0.62,0.6,1.12,1.24,0.26,1.78,0.11,1.21,0.46,1.08
H2-K1,0.29,0.37,0.37,0.37,0.42,0.76,0.65,1.22,1.95,0.57,0.66,0.86,0.57
H2-Ob,0.32,1.03,0.55,0.61,1.47,1.42,0.47,0.08,1.56,0.38,2,0.94,0.61
H2-Q10,0.29,0.22,0.35,0.9,1.11,1.1,0.44,1.15,1.2,1.27,2.44,0.22,0.22
H60a,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,0.88,1.09,2.03,0.88
Hamp,0.77,0.58,0.57,0.57,0.78,0.75,1.59,1.3,0.57,0.65,1.43,0.57,0.57
Hc,1.18,0.89,0.88,0.88,1.2,1.16,0.88,0.89,0.88,0.88,1.09,0.88,0.88
Hcst,0.14,0.06,0.06,0.14,0.08,0.55,0.55,1.14,2.68,0.71,1.38,1.01,0.06
Hfe,0.51,0.62,0.51,0.55,0.67,0.75,0.73,1.32,1.53,0.89,0.91,1.04,0.53
Hif1a,1,1.04,1.01,1,0.96,0.93,0.98,1.17,0.97,1.13,0.97,1.05,0.95
Hlx,0.35,0.64,0.49,0.73,0.57,0.45,0.48,1.6,1.89,0.49,1.07,1.05,0.71
Hprt,1.19,1.32,1.24,1.31,1.24,1.06,1.19,0.88,0.63,0.95,1.04,0.97,1.19
Icam1,0.11,0.31,0.23,0.26,1.35,0.94,0.54,1.72,1.86,0.67,0.63,0.68,0.39
Icam2,0.97,1.16,0.84,1.34,1.14,1.03,1.1,0.61,1.13,0.45,0.92,0.74,1.04
Icam4,0.98,1.21,1.13,1.23,1,1.16,0.91,0.91,1.01,0.96,1.02,1.25,0.58
Icam5,1.32,1.2,1.25,1.15,1.1,0.97,1.1,0.95,0.78,0.93,1.07,0.98,1.17
Icos,0.68,0.52,0.51,0.51,0.69,0.67,0.63,0.52,2.49,0.58,2.53,0.51,0.51
Icosl,0.51,0.73,0.73,0.67,0.77,0.79,0.84,1.38,1.22,1.68,0.74,1.48,0.49
Ifi204,0.01,0.01,0.02,0.02,0.16,0.73,0.34,0.73,3.03,0.62,0.63,1.15,0.2
Ifi35,0.66,0.54,0.46,0.49,0.66,0.85,0.74,0.84,1.91,0.7,0.73,0.95,0.56
Ifih1,0.74,0.64,0.58,0.63,0.7,0.87,0.72,1,1.7,0.85,0.79,0.98,0.61
Ifit2,0.79,0.65,0.66,0.74,0.81,1.04,0.78,0.94,1.43,0.97,0.93,1.22,0.76
Ifitm1,0.28,0.52,0.52,0.38,1.4,0.61,0.51,1.75,1.74,0.74,0.5,0.57,0.56
Ifna1,0.15,0.11,0.47,0.26,1.68,1.25,0.81,0.84,2.11,0.71,1.14,0.47,0.88
Ifna2,1.29,0.97,0.95,0.95,0.95,1.14,0.95,0.95,1.24,2.29,1.26,0.95,0.95
Ifnar1,1.09,0.97,0.98,0.98,0.96,0.9,1,1.05,1.09,0.88,0.95,0.91,0.93
